"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000102364",1.31964580103975,3.23410555991633,21.8928722008607,2.88302801879073e-06,0.000405356268413923
"ENSDARG00000076945",-0.558897697796572,4.99033977976127,21.8235232897546,2.98912892372237e-06,0.000418014948439667
"ENSDARG00000102554",0.99918094539027,1.10207600032281,21.8171077674709,2.9991402233872e-06,0.000418014948439667
"ENSDARG00000103650",1.27614254625825,0.0165139132842346,21.7775919465681,3.06154999626558e-06,0.000424866269395176
"ENSDARG00000020893",-0.491626738546383,6.94732304779254,21.7629046600418,3.08507727294383e-06,0.000426285871287761
"ENSDARG00000086445",1.3818841875438,1.25666260908474,21.7202747144308,3.1543978248833e-06,0.000433993695589202
"ENSDARG00000061844",0.479248610591203,5.5638293811629,21.6684156741742,3.24083636634387e-06,0.000443980732461049
"ENSDARG00000100582",-0.849398933408268,7.46193354077466,21.6559795045441,3.2619158406446e-06,0.00044496696214274
"ENSDARG00000117216",-2.73671757696498,-1.81642609043638,21.521006555198,3.4997392053037e-06,0.000475386185188224
"ENSDARG00000097959",-0.757636316626903,5.3832096795639,21.4875935971461,3.56125242487804e-06,0.000481700713013988
"ENSDARG00000028731",1.05081037307274,3.5012309444678,21.2486951023473,4.03384892550277e-06,0.000543332331953118
